rainfall,crop,soil_type,season,pesticide,success_rate
474,rice,black,summer,Copper Sulfate,53
161,wheat,red,summer,Glyphosate,70
469,wheat,black,winter,Carbendazim,77
248,rice,red,rainy,Mancozeb,98
172,rice,red,summer,Chlorpyrifos,75
298,rice,red,rainy,Deltamethrin,100
94,rice,black,summer,Deltamethrin,70
114,wheat,black,rainy,Deltamethrin,100
101,rice,red,summer,Imidacloprid,80
450,rice,black,winter,Deltamethrin,70
107,rice,red,rainy,Mancozeb,98
225,wheat,red,summer,Chlorpyrifos,75
481,wheat,black,rainy,Mancozeb,63
373,rice,black,summer,Imidacloprid,65
427,wheat,red,rainy,Carbendazim,42
97,rice,red,summer,Glyphosate,40
399,wheat,black,summer,Mancozeb,63
79,rice,red,summer,Imidacloprid,50
231,wheat,black,winter,Copper Sulfate,100
456,wheat,black,winter,Chlorpyrifos,80
100,rice,red,rainy,Copper Sulfate,88
456,rice,black,winter,Copper Sulfate,53
204,wheat,red,winter,Chlorpyrifos,95
353,rice,black,summer,Chlorpyrifos,60
398,rice,red,rainy,Carbendazim,62
147,rice,black,winter,Imidacloprid,95
303,wheat,black,summer,Deltamethrin,70
449,rice,red,summer,Carbendazim,42
89,wheat,black,rainy,Carbendazim,57
473,wheat,black,rainy,Carbendazim,57
395,rice,black,summer,Carbendazim,57
145,wheat,red,summer,Carbendazim,72
265,rice,red,winter,Mancozeb,78
277,rice,red,rainy,Chlorpyrifos,95
84,wheat,black,winter,Chlorpyrifos,80
100,rice,black,summer,Glyphosate,85
208,wheat,red,winter,Mancozeb,98
87,wheat,black,rainy,Deltamethrin,70
79,wheat,red,winter,Glyphosate,60
115,rice,black,winter,Deltamethrin,100
406,rice,black,summer,Deltamethrin,70
314,wheat,black,winter,Copper Sulfate,73
455,rice,red,winter,Glyphosate,40
117,rice,black,rainy,Carbendazim,100
396,rice,black,rainy,Copper Sulfate,73
280,wheat,red,winter,Deltamethrin,100
457,wheat,black,winter,Mancozeb,83
269,rice,red,summer,Deltamethrin,85
420,rice,red,winter,Imidacloprid,50
344,wheat,red,summer,Mancozeb,48
205,rice,red,winter,Deltamethrin,85
67,rice,black,summer,Mancozeb,63
121,wheat,black,summer,Mancozeb,93
256,wheat,red,summer,Carbendazim,72
301,wheat,red,winter,Deltamethrin,75
103,wheat,black,rainy,Imidacloprid,95
208,wheat,black,winter,Copper Sulfate,100
174,rice,red,rainy,Carbendazim,92
140,rice,black,summer,Carbendazim,87
411,wheat,black,winter,Imidacloprid,85
329,rice,red,winter,Copper Sulfate,38
130,wheat,red,rainy,Deltamethrin,85
118,wheat,red,winter,Deltamethrin,100
60,wheat,black,summer,Glyphosate,55
126,rice,red,summer,Deltamethrin,85
314,wheat,black,rainy,Chlorpyrifos,60
332,wheat,black,summer,Chlorpyrifos,60
417,wheat,red,summer,Copper Sulfate,38
382,wheat,red,winter,Imidacloprid,70
338,rice,black,summer,Glyphosate,55
252,wheat,black,rainy,Copper Sulfate,83
223,wheat,black,winter,Chlorpyrifos,100
198,wheat,red,winter,Carbendazim,92
98,wheat,red,summer,Imidacloprid,50
356,wheat,red,rainy,Carbendazim,42
56,wheat,black,winter,Mancozeb,83
328,wheat,red,rainy,Carbendazim,42
316,wheat,red,summer,Glyphosate,40
88,rice,red,winter,Mancozeb,48
466,rice,black,summer,Deltamethrin,70
403,wheat,red,rainy,Mancozeb,48
491,wheat,red,summer,Imidacloprid,50
314,wheat,red,summer,Glyphosate,40
129,wheat,red,winter,Imidacloprid,100
394,rice,red,summer,Chlorpyrifos,45
285,rice,black,summer,Imidacloprid,95
128,rice,red,winter,Copper Sulfate,68
174,rice,black,summer,Imidacloprid,95
453,wheat,red,summer,Imidacloprid,50
499,rice,black,summer,Mancozeb,63
351,wheat,red,summer,Mancozeb,48
309,rice,black,summer,Copper Sulfate,53
91,wheat,red,summer,Glyphosate,40
113,rice,black,rainy,Chlorpyrifos,100
459,wheat,red,rainy,Glyphosate,40
390,rice,black,winter,Imidacloprid,65
90,rice,red,winter,Copper Sulfate,38
359,wheat,red,summer,Imidacloprid,50
349,wheat,red,summer,Deltamethrin,55
481,wheat,black,winter,Imidacloprid,85
161,wheat,red,summer,Glyphosate,70
463,wheat,black,summer,Glyphosate,55
401,rice,red,rainy,Imidacloprid,70
124,wheat,red,winter,Imidacloprid,100
287,rice,black,winter,Mancozeb,93
260,rice,red,summer,Imidacloprid,80
369,rice,black,summer,Deltamethrin,70
380,wheat,black,rainy,Carbendazim,57
94,rice,red,rainy,Chlorpyrifos,65
287,wheat,red,summer,Carbendazim,72
84,rice,black,winter,Deltamethrin,70
347,wheat,black,summer,Carbendazim,57
52,wheat,black,summer,Imidacloprid,65
380,wheat,black,winter,Glyphosate,75
190,wheat,black,winter,Imidacloprid,100
386,rice,red,winter,Deltamethrin,55
385,rice,black,winter,Glyphosate,55
182,rice,red,summer,Mancozeb,78
51,rice,red,rainy,Imidacloprid,70
310,rice,black,summer,Chlorpyrifos,60
493,wheat,black,summer,Glyphosate,55
153,rice,black,rainy,Imidacloprid,100
395,rice,black,winter,Chlorpyrifos,60
136,rice,red,summer,Copper Sulfate,68
106,rice,red,winter,Glyphosate,70
430,rice,red,summer,Deltamethrin,55
102,wheat,red,winter,Mancozeb,98
371,wheat,red,winter,Glyphosate,60
160,wheat,red,rainy,Deltamethrin,85
365,wheat,black,rainy,Carbendazim,57
238,wheat,red,summer,Imidacloprid,80
273,rice,black,summer,Glyphosate,85
395,rice,red,winter,Mancozeb,48
299,wheat,black,rainy,Carbendazim,87
261,wheat,black,summer,Glyphosate,85
252,wheat,red,rainy,Mancozeb,78
377,wheat,red,summer,Glyphosate,40
294,rice,red,rainy,Mancozeb,98
264,rice,black,rainy,Mancozeb,100
451,wheat,black,rainy,Copper Sulfate,53
175,wheat,red,rainy,Glyphosate,70
232,wheat,black,winter,Carbendazim,100
144,wheat,red,summer,Deltamethrin,85
90,rice,black,summer,Chlorpyrifos,60
250,rice,black,winter,Glyphosate,85
318,rice,red,winter,Glyphosate,40
413,wheat,red,rainy,Deltamethrin,55
491,rice,red,rainy,Mancozeb,68
66,wheat,red,rainy,Chlorpyrifos,45
